FSU,Sample Uploaded,Assigned to ENM,First ENM to SUP,Latest ENM to SUP,First Return ENM to SUP,Latest Return ENM to SUP,No of repeat submissions to SUP,First SUP to DS,Latest SUP to DS,First Return SUP to DS,Latest Return SUP to DS,No of repeat submissions to DS,First DS Acceptance,Latest DS Acceptance,Last Update,No of Warnings,No of SSUs,Max Visit Number,FV,RV,Zone,Ro,Sro,Area Type,Schedule 0.0 Status,FSU Final Status,One-Go Completion,Potential Data Quality Issue (ENM/SUP),Potential SUP Oversight (DS Rejected after SUP Approval)
1610793405,2026-03-28,2026-04-01,2026-04-02,2026-04-10,2026-04-09,2026-04-09,1,2026-04-05,2026-04-10,2026-04-09,2026-04-09,1,2026-04-12,2026-04-12,2026-04-12,3,12,4,0,1,North Zone,Chandigarh,CHD,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1610794405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,AMB,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610795405,2026-03-28,2026-03-31,2026-04-10,2026-04-10,2026-04-10,2026-04-10,1,2026-04-10,2026-04-10,,,0,,,2026-04-10,2,12,4,0,1,North Zone,Chandigarh,AMB,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1610796405,2026-03-28,2026-03-31,2026-04-02,2026-04-03,2026-04-03,2026-04-03,1,2026-04-03,2026-04-03,,,0,2026-04-06,2026-04-06,2026-04-06,1,12,4,0,1,North Zone,Chandigarh,AMB,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1610797405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,AMB,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610798405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610799405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610800405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610801405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610802405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610803405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610804405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,KNL,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610805405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,HSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610806405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,HSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610807405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,HSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610808405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,HSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610809405,2026-03-28,2026-04-01,2026-04-10,2026-04-10,,,0,2026-04-10,2026-04-10,,,0,,,2026-04-10,,12,4,0,1,North Zone,Chandigarh,HSR,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1610810405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,RTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610811405,2026-03-28,2026-03-31,2026-04-10,2026-04-10,,,0,2026-04-10,2026-04-10,,,0,2026-04-13,2026-04-13,2026-04-13,,12,4,0,1,North Zone,Chandigarh,RTK,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,1,0,0
1610812405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,RTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610813405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,FBD,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610814405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,FBD,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610815405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,FBD,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610816405,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,4,0,1,North Zone,Chandigarh,FBD,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610817405,2026-03-28,2026-04-01,2026-04-12,2026-04-12,,,0,2026-04-13,2026-04-13,,,0,,,2026-04-13,,12,4,0,1,North Zone,Chandigarh,HSR,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1610818305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North Zone,Chandigarh,CHD,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1610819305,2026-03-28,2026-03-31,2026-04-07,2026-04-07,2026-04-07,2026-04-07,1,2026-04-07,2026-04-07,,,0,2026-04-08,2026-04-08,2026-04-08,1,12,3,0,1,North Zone,Chandigarh,AMB,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1610820305,2026-03-28,2026-03-31,,,,,0,,,,,0,,,,,,3,0,1,North Zone,Chandigarh,AMB,Rural,,ASSIGN TO ENUMERATOR,0,0,0
